id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
320903,RO-0019,small_airport,"Comana Airstrip",44.200367,26.139661,168,EU,Romania,RO,"Giurgiu County",RO-GR,GR,Comana,0,,,,,,,50,2023-05-17T16:03:03+00:00
317422,RO-0012,small_airport,"Costinești Aerodrome",43.926686,28.629548,66,EU,Romania,RO,"Constanţa County",RO-CT,CT,Costinești,0,,,,,,,50,2021-12-30T14:54:21+00:00
320207,RO-0013,small_airport,"Aeroclubul Balta-Verde",44.285839,23.791537,,EU,Romania,RO,"Dolj County",RO-DJ,DJ,Craiova,0,LRCW,,,,,,50,2020-09-08T20:46:26+00:00
329751,RO-0031,small_airport,"Aerodrom Crasna",47.1679879,22.8559184,,EU,Romania,RO,"Sălaj County",RO-SJ,SJ,Crasna,0,,,,,,,50,2018-11-27T10:55:09+00:00
5669,LR81,closed,"Deveselu Air Base",44.0773010254,24.4164009094,289,EU,Romania,RO,"Olt County",RO-OT,OT,Deveselu,0,,,,,,LR81,50,2009-09-10T15:13:29+00:00
322374,RO-0023,small_airport,"Aerodrom Drobeta",44.580556,22.844444,,EU,Romania,RO,"Mehedinţi County",RO-MH,MH,Drobeta,0,,,,http://www.aeroclubuldrobeta.ro/,,,50,2020-09-08T20:44:32+00:00
351104,RO-0041,small_airport,"Dunavățu de Jos Aerodrome",44.985719,29.213128,43,EU,Romania,RO,"Tulcea County",RO-TL,TL,"Dunavățu de Jos",0,,,,,,,50,2021-12-30T15:06:18+00:00
354824,RO-0051,small_airport,"Gagu Airfield",44.610695,26.260629,265,EU,Romania,RO,"Ilfov County",RO-IF,IF,Gagu,0,,,,,,,50,2022-06-07T06:05:28+00:00
325342,RO-0028,small_airport,"Ghindari Airfield",46.5189842,24.943781,,EU,Romania,RO,"Mureş County",RO-MS,MS,Ghindari,0,,,,,,,50,2017-10-31T13:27:31+00:00
322151,RO-0022,small_airport,"Lăzarea Airstrip",46.7261196,25.5141861,,EU,Romania,RO,"Harghita County",RO-HR,HR,Lăzarea,0,,,,,,,50,2017-02-13T05:04:48+00:00
